client,material_num,plant,batch_num,special_stock_ind,vendor_account_num,current_period_fiscal_year,current_period,lblab,lbins,lbein,lbuml,is_quarantined
100,000000000001000278,3451,0001185018,O,0001008128,2018,6,76298.470,0.000,0.000,0.000,false
100,000000000001000278,3451,0001195553,O,0001008128,2018,6,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001221710,O,0001008128,2018,10,320287.268,0.000,0.000,0.000,false
100,000000000001000278,3451,0001230003,O,0001008128,2018,10,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001249832,O,0001008128,2018,12,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001249832,O,0001008128,2019,1,35444.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001255451,O,0001008128,2019,1,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001255451,O,0001008128,2019,2,363210.573,0.000,0.000,0.000,false
100,000000000001000278,3451,0001315592,O,0001008128,2019,7,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001315592,O,0001008128,2019,8,212144.124,0.000,0.000,0.000,false
100,000000000001000278,3451,0001340828,O,0001008128,2019,10,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001340828,O,0001008128,2019,11,83870.551,0.000,0.000,0.000,false
100,000000000001000278,3451,0001347955,O,0001008128,2019,12,228282.624,0.000,0.000,0.000,false
100,000000000001000278,3451,0001358459,O,0001008128,2019,12,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001363149,O,0001008128,2020,2,235910.784,0.000,0.000,0.000,false
100,000000000001000278,3451,0001371453,O,0001008128,2020,2,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001383205,O,0001008128,2020,3,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001401601,O,0001008128,2020,5,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001420570,O,0001008128,2020,8,205434.817,0.000,0.000,0.000,false
100,000000000001000278,3451,0001436739,O,0001008128,2020,9,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001451701,O,0001008128,2020,11,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001469244,O,0001008128,2021,1,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0001497529,O,0001008128,2021,5,191418.391,0.000,0.000,0.000,false
100,000000000001000278,3451,0001517510,O,0001008128,2021,7,6505.639,0.000,0.000,0.000,false
