client,material_num,plant,storage_location,batch_num,special_stock_ind,vendor_account_num,lvorm,ersda,ernam,aenam,laeda,lfgja,lfmon,spers,slabs,sinsm,seinm,sspem,svmla,svmin,svmei,svmsp,kzisl,kzisq,kzise,kziss,kzvsl,kzvsq,kzvse,kzvss,mmeng,ameng,kodll,kojin,korue,is_quarantined
100,000000000001020163,5401,0001,5401027320,K,0001026611, ,2020-09-30 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2023,6, ,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000010000382,2162,0003, ,K,0001021696, ,2008-06-22 05:00:00.000000,YAN0017, ,1900-01-01 06:00:00.000000,2009,5, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2009,X,true
100,000000000010000383,2162,0003, ,K,0001021696, ,2008-07-29 05:00:00.000000,ZDP0205, ,1900-01-01 06:00:00.000000,2009,3, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2009, ,true
100,000000000010000644,2162,0003, ,K,0001021376, ,2008-07-21 05:00:00.000000,ZDP0205, ,1900-01-01 06:00:00.000000,2009,6, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2009, ,true
100,000000000010000645,2162,0003, ,K,0001021696, ,2008-06-22 05:00:00.000000,YAN0017, ,1900-01-01 06:00:00.000000,2009,5, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2009,X,true
100,000000000030000655,2247,9000,REBUILT,K,0001000643, ,2010-05-27 05:00:00.000000,YAN0017, ,1900-01-01 06:00:00.000000,2012,4, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2010, ,false
100,000000000030001033,7039,9000, ,K,0001010404, ,2011-03-24 05:00:00.000000,ZJC0226, ,1900-01-01 06:00:00.000000,2011,10, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2011, ,true
100,000000000030002495,2247,9000, ,K,0001000643, ,2010-05-27 05:00:00.000000,YAN0017, ,1900-01-01 06:00:00.000000,2012,4, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2010, ,true
100,000000000030002686,2247,9000, ,K,0001000643, ,2010-05-27 05:00:00.000000,YAN0017, ,1900-01-01 06:00:00.000000,2011,2, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2010,X,true
100,000000000030003950,2247,9000, ,K,0001000643, ,2010-05-27 05:00:00.000000,YAN0017, ,1900-01-01 06:00:00.000000,2011,2, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2010,X,true
100,000000000030044537,2247,9000, ,K,0001007660, ,2010-05-27 05:00:00.000000,YAN0017, ,1900-01-01 06:00:00.000000,2012,4, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2010, ,true
100,000000000030047716,2247,9000, ,K,0001000643, ,2010-05-27 05:00:00.000000,YAN0017, ,1900-01-01 06:00:00.000000,2012,4, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2010, ,true
100,000000000030047942,2119,9000, ,K,0001013693, ,2009-01-19 06:00:00.000000,ZRF0086, ,1900-01-01 06:00:00.000000,2021,9, ,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,  X, , , , , , , ,0.000,0.000,2011-02-08 06:00:00.000000,2011, ,true
100,000000000030047954,2119,9000, ,K,0001013693, ,2009-01-19 06:00:00.000000,ZRF0086, ,1900-01-01 06:00:00.000000,2013,12, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2009, ,true
100,000000000030048239,2119,9000, ,K,0001013693, ,2009-01-19 06:00:00.000000,ZRF0086, ,1900-01-01 06:00:00.000000,2009,9, ,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,  X, , , , , , , ,0.000,0.000,2011-02-08 06:00:00.000000,2011, ,true
